country,state,city,shape,duration_hours,duration_minutes,duration_seconds,comments,date_posted,latitude,longitude,date,time
au,Victoria,halls gap (near melbourne) (nsw&#44 australia),sphere,0.008333333,0.5,30.0,Metallic sphere travelling West to East and the vertical at great speed,20/11/2002,-37.136631,142.520462,16/11/2002,14:56:00
au,Victoria,melbourne (vic&#44 australia),disk,0.016666667,1.0,60.0,bright glowwing yellow lights,26/11/2003,-37.813938,144.963425,16/11/2003,11:05:00
au,Western Australia,perth (australia),sphere,0.083333333,5.0,300.0,Paranormal activity prior and after all events Six in total.,5/12/2013,-31.95224,115.861397,16/11/2013,19:30:00
au,Australian Capital Territory,canberra (australia),diamond,0.001944444,0.116666667,7.0,A bright stationary star with a golden glow&#44 then moving from south to north at a quick pace for 7seconds. translucent then dissapeared,12/12/2009,-35.27603,149.13435,17/11/2009,21:56:00
au,Victoria,melbourne (australia),circle,0.008888889,0.533333333,32.0,A &quot;dot&quot; shaped object shining sharply and moving with a slow and steady pace,7/12/2006,-37.813938,144.963425,18/11/2006,10:00:00
au,Queensland,yorkeys knob (north of cairns) (qld&#44 australia)),other,0.166666667,10.0,600.0,1 slow moving UFO rising from East (ocean) to West&#44 on straight path&#44 rectangular/cylindrical shape.,20/06/2005,-16.816667,145.716667,1/01/1980,19:00:00
au,Western Australia,perth (western australia),triangle,1.0,60.0,3600.0,u.f.o. over suberbia,23/12/2002,-31.95224,115.861397,1/01/1997,1:30:00
au,New South Wales,leeton (australia),circle,0.008333333,0.5,30.0,Nothing man made could of flewn through the sky like this object.,24/01/2014,-34.551048,146.404831,1/01/1999,20:00:00
au,Queensland,brisbane (qld&#44 australia),disk,0.033333333,2.0,120.0,single object made up of two clusters of lights&#44visible only on video&#44no sound&#44at 3000/5000 feet travelling very fast,18/02/2001,-27.47101,153.024292,1/01/2001,0:25:00
au,Queensland,toowoomba (australia),formation,0.008333333,0.5,30.0,formation of lights appeared out of nowhere high above us,11/01/2005,-27.56056,151.953857,1/01/2005,20:45:00
au,Western Australia,perth (australia),light,0.333333333,20.0,1200.0,Object is a bright yellow and a bit orange light at high attitude,21/01/2008,-31.95224,115.861397,1/01/2008,0:00:00
au,New South Wales,rhodes (sydney) (australia),changing,0.001666667,0.1,6.0,silvery white object &#44 oval like shape opened out&#44 rotated&#44 closed in and disappeared.,5/01/2011,-33.833333,151.083333,1/01/2011,11:15:00
au,Victoria,melbourne (vic&#44 australia),cone,0.166666667,10.0,600.0,Driving home with freinds&#44 saw unusual craft (real obvious UFO) hovering in a field&#44 stopped to look at/verify what it might be...,28/08/2002,-37.813938,144.963425,20/11/1997,19:00:00
au,Queensland,cairns (australia),light,0.25,15.0,900.0,three lighted object hovering down the street,16/12/2005,-16.92304,145.766251,20/11/2005,20:00:00
au,Victoria,melbourne (australia),light,0.75,45.0,2700.0,3 lighted spherical UFO seen over the eastern suburbs of Melbourne Australia.,16/12/2005,-37.813938,144.963425,20/11/2005,22:35:00
au,New South Wales,broken hill (australia),light,0.333333333,20.0,1200.0,Observed pulsating set of 4 rectangular lights of white and red&#44 50 feet from the ground never moving.,23/12/2002,-31.961729,141.459976,2/11/1997,22:20:00
au,South Australia,adelaide (south australia),circle,0.016666667,1.0,60.0,Not your typical sighting&#44 a black stealth machine gliding past&#44 giving me a view of what I knew existed. Wow.,22/02/2002,-34.928661,138.598633,2/11/1998,19:00:00
au,New South Wales,sydney (righton&#44 botany bay) (nsw&#44 australia),disk,0.033333333,2.0,120.0,Near collison with vehicle disc bright white lifted car whislt waiting traffic lights Sydney Australia,16/04/2005,-33.861481,151.205475,2/11/2001,8:35:00
au,Victoria,baranduda (australia),unknown,0.000833333,0.05,3.0,Light Stream with Multiple objects.,11/08/2004,-36.2,146.966667,2/11/2001,9:00:00
au,Australian Capital Territory,canberra (australia),circle,0.016666667,1.0,60.0,UFO seen in the night sky by father and son in Canberra - Australia,24/05/2005,-35.27603,149.13435,12/01/2004,21:22:00
